Record creation date,Maker,Model,Model year,Begin date of manufacturing,End date of manufacturing,Potential number of units affected,Defect summary,Consequence summary,Corrective summary
20150116,TOYOTA,RAV4,2014,20130601,20141229,1140,"Toyo Tire Holdings of Americas Inc. (Toyo) is recalling certain Open Country M/T tires, size 40X15.5R22 127Q, manufactured October 26, 2014, to November 1, 2014 (week code 4314).  During production, the affected tires were made with their belts off center which may result in tread separation and/or loss of inflation pressure.",Tread separation or loss of inflation pressure may increase the risk of a crash.,"Toyo will notify owners, and dealers will replace the tires, free of charge. The recall is expected to begin in February 2015. Owners may contact Toyo customer service at 1-800-442-8696."
20150116,TOYOTA,RAV4,2013,20130601,20141229,1140,"Jaguar Land Rover North America, LLC (Land Rover) is recalling one model year 2015 Range Rover Sport vehicle manufactured November 16, 2014, and one 2015 LR4 vehicle manufactured November 11, 2014. In the affected vehicles, the 3.0L V6 supercharged engines may have improperly torqued connecting rod bolts.  As a result, the connecting rod may separate from the crankshaft and the engine may seize. ",If the engine seizes there is an increased risk of a crash.,"Land Rover will notify owners, and dealers will replace the affected engines, free of charge. The recall is expected to begin April 2, 2015.  Owners may contact Land Rover customer service at 1-800-637-6837.  Land Rover's number for this recall is P055."
20150116,TOYOTA,RAV4,2013,20130601,20141229,1140,"Jaguar Land Rover North America, LLC (Land Rover) is recalling one model year 2015 Range Rover Sport vehicle manufactured November 16, 2014, and one 2015 LR4 vehicle manufactured November 11, 2014. In the affected vehicles, the 3.0L V6 supercharged engines may have improperly torqued connecting rod bolts.  As a result, the connecting rod may separate from the crankshaft and the engine may seize. ",If the engine seizes there is an increased risk of a crash.,"Land Rover will notify owners, and dealers will replace the affected engines, free of charge. The recall is expected to begin April 2, 2015.  Owners may contact Land Rover customer service at 1-800-637-6837.  Land Rover's number for this recall is P055."
20150116,SPARTAN,MM,2015,20131002,20141119,24,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150116,SPARTAN,MM,2015,20131002,20141119,24,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150116,NISSAN,ROGUE,2015,20140812,20141115,893,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150116,NISSAN,ROGUE,2014,20140812,20141115,893,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150116,NISSAN,PATHFINDER,2015,20140814,20141105,893,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150116,INFINITI,QX60,2015,20140814,20141105,893,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150116,NISSAN,PATHFINDER,2014,20140814,20141105,893,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150116,INFINITI,QX60,2014,20140814,20141105,893,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150116,KIA,FORTE,2014,20121205,20140417,86880,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150120,POLARIS,SLINGSHOT,2015,20140818,20141216,1577,"Utility Trailer Manufacturing Company (Utility) is recalling certain model year 2014-2015 FS2CHA, VS2DX, VS1DC, VS2RA, and VS1RA trailers manufactured April 14, 2014, to November 4, 2015, equipped with certain Haldex Life Seal Type 30/30 Long Stroke Air Brake Actuators manufactured January 9, 2014, to October 28, 2014.  The affected actuators may have an incomplete attachment of the internal rubber diaphragm to the actuation mechanism of the parking brake section of the Life Seal actuator.","If the diaphragm is not completely attached, there may be internal leakage from the service section past the diaphragm, potentially trapping air pressure in the parking brake section. This air pressure in turn, if not vented, may prevent full release of the actuator unit, and may induce brake drag and may result in overheated wheelend service brakes, increasing the risk of a fire.","Utility will notify owners and dealers will replace the actuators, free of charge. The recall is expected to begin on February 16, 2015.  Owners may contact Utility customer service at 1-800-423-6591.  Utility's number for this recall is 14E075."
20150120,POLAR TANK,ATB6 TRAILER,2015,20140827,20141129,10,"Morgan Olson Corporation (Morgan Olson) is recalling certain model year 2014 Service Body trucks built on Sprinter cab chassis manufactured April 11, 2014, to December 18, 2014.  The affected vehicles may have the rear identification lamps mounted below the doors. Also, the license plate illumination lamp may be mounted incorrectly which may result in  incomplete illumination of the license plate.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard (FMVSS) No. 108, ""Lamps, Reflective Devices, and Associated Equipment.""","If the rear identification lamps and the license plate lamp are not mounted correctly, the vehicle may have reduced visibility, increasing the risk of a vehicle crash.","Morgan Olson will notify owners, and dealers will modify the trucks to add rear identification lights above the door, and remount the license plate lamp, free of charge. The manufacturer has not yet provided a notification schedule. Owners may contact Morgan Olson customer service at 1-800-262-3437."
20150120,POLAR TANK,APX0 TRAILER,2015,20140827,20141129,10,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,POLAR TANK,SRJH TRAILER,2015,20140827,20141129,10,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,JAYCO,EAGLE,2015,20140313,20140801,20,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,SPEED AND STRENGTH,SS500DVD,9999,20110412,20130831,1379,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,A7,2013,20110421,20121113,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,A7,2012,20110421,20121113,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,PORSCHE,PANAMERA S HYBRID,2011,20110426,20120802,1368,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,PORSCHE,PANAMERA S HYBRID,2012,20110426,20120802,1368,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,PORSCHE,CAYENNE S HYBRID,2012,20110426,20120802,1368,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,PORSCHE,CAYENNE S HYBRID,2011,20110426,20120802,1368,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,A6,2012,20110502,20120419,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,S4,2011,20110420,20120303,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,S4,2012,20110420,20120303,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,S5,2011,20110426,20120213,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,S5,2012,20110426,20120213,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,VOLKSWAGEN,TOUAREG HYBRID,2012,20110808,20120204,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,Q7,2011,20110417,20120204,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,AUDI,Q7,2012,20110417,20120204,26008,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,FRONTLINE COMMUNICATIONS,MOBILE MEDICAL UNIT,2008,20071231,20110217,9,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,FRONTLINE COMMUNICATIONS,MOBILE MEDICAL UNIT,2011,20071231,20110217,9,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,FRONTLINE COMMUNICATIONS,MOBILE MEDICAL UNIT,2010,20071231,20110217,9,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,FRONTLINE COMMUNICATIONS,MOBILE MEDICAL UNIT,2009,20071231,20110217,9,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150120,FRONTLINE COMMUNICATIONS,MOBILE MEDICAL UNIT,2007,20071231,20110217,9,"Piaggio Group Americas Inc. (Piaggio) is recalling certain model year 2008-2010 Vespa GTS 250, GTV 250, GTS Super 250, 2011 Vespa LX 150, LXV 150, S 150, 2010-2011 Vespa GTS 300, GTV 300, GTS Super 300, 2009-2010 Piaggio MP3 250, BV 250 Tourer, and 2010 BV 300 Tourer motorcycles.  Due to a defective fuel pump, the affected motorcycles may stall while being operated or may fail to restart after being shut off for 15-20 minutes.","If the motorcycle stalls, there is an increased risk of a crash.","Piaggio will notify owners, and dealers will replace the defective fuel pump, free of charge. The recall is expected to begin March 16, 2015. Owners may contact Piaggio customer service at 1-212-380-4433."
20150121,POLARIS,SLINGSHOT,2015,20140818,20150110,1896,"Newmar Corporation (Newmar) is recalling certain model year 2015 Essex motorhomes manufactured March 13, 2014, to November 13, 2014, built on Spartan chassis.  Due to the steering column having inadequate spline engagement at the steering gear, the steering shaft may disconnect or slip.  ","If the steering shaft disconnects or slips there would be a loss of steering control, increasing the risk of a crash.","Spartan will notify owners on behalf of Newmar, and dealers will replace the steering shaft, free of charge. The manufacturer has not yet provided a notification schedule.  Owners may contact Newmar customer service at 1-800-731-8300."
